Time,TimeStep,Iteration,Total_Iterations,Max_Velocity_Error,Max_Pressure_Error,CNN_Used,CNN_Active
  3.9916245E-03,      1,      1,      2,  7.1963752E-05,  1.8678100E-10,0,0
  7.9832489E-03,      2,      1,      4,  9.7249560E-05,  2.1469584E-10,0,0
  1.1974873E-02,      3,      1,      6,  1.1332153E-04,  2.2841640E-10,0,0
  1.5966498E-02,      4,      1,      8,  1.2008641E-04,  2.3569638E-10,0,0
  1.9958122E-02,      5,      1,     10,  1.1783102E-04,  2.4128980E-10,0,0
  2.3949747E-02,      6,      1,     12,  1.0785283E-04,  2.4321389E-10,0,0
  2.7941371E-02,      7,      1,     14,  9.2207200E-05,  2.3248211E-10,0,0
  3.1932996E-02,      8,      1,     16,  7.3383191E-05,  2.1583733E-10,0,0
  3.5924620E-02,      9,      1,     18,  5.3980846E-05,  2.5804156E-10,0,0
  3.9916245E-02,     10,      1,     20,  6.5504061E-05,  2.5549695E-10,0,0
  4.3907869E-02,     11,      1,     22,  8.1617279E-05,  2.4281773E-10,0,0
  4.7899494E-02,     12,      1,     24,  9.2932597E-05,  2.3636481E-10,0,0
  5.0000000E-02,     13,      1,     26,  6.8603394E-05,  2.6945172E-10,0,0
