,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-08-25T23:15:54.153+08:00, 0.399E-02, 0.0039916, 0.98438E+00
       2,2026-08-25T23:15:54.290+08:00, 0.399E-02, 0.0079832, 0.11250E+01
       3,2026-08-25T23:15:54.409+08:00, 0.399E-02, 0.0119749, 0.12344E+01
       4,2026-08-25T23:15:54.526+08:00, 0.399E-02, 0.0159665, 0.13594E+01
       5,2026-08-25T23:15:54.632+08:00, 0.399E-02, 0.0199581, 0.14531E+01
       6,2026-08-25T23:15:54.751+08:00, 0.399E-02, 0.0239497, 0.15625E+01
       7,2026-08-25T23:15:54.865+08:00, 0.399E-02, 0.0279414, 0.16875E+01
       8,2026-08-25T23:15:54.993+08:00, 0.399E-02, 0.0319330, 0.18125E+01
       9,2026-08-25T23:15:55.111+08:00, 0.399E-02, 0.0359246, 0.19219E+01
      10,2026-08-25T23:15:55.235+08:00, 0.399E-02, 0.0399162, 0.20469E+01
      20,2026-08-25T23:15:56.402+08:00, 0.358E-02, 0.0794204, 0.32188E+01
      30,2026-08-25T23:15:57.665+08:00, 0.247E-02, 0.1094740, 0.44844E+01
      40,2026-08-25T23:15:58.825+08:00, 0.220E-02, 0.1325701, 0.56406E+01
      50,2026-08-25T23:15:59.986+08:00, 0.178E-02, 0.1519673, 0.67969E+01
      60,2026-08-25T23:16:01.115+08:00, 0.159E-02, 0.1695632, 0.79375E+01
      70,2026-08-25T23:16:02.253+08:00, 0.159E-02, 0.1854833, 0.90625E+01
      80,2026-08-25T23:16:03.549+08:00, 0.143E-02, 0.2002757, 0.10328E+02
      90,2026-08-25T23:16:04.691+08:00, 0.143E-02, 0.2145847, 0.11422E+02
     100,2026-08-25T23:16:05.687+08:00, 0.128E-02, 0.2277168, 0.12422E+02
     200,2026-08-25T23:16:15.987+08:00, 0.933E-03, 0.3387909, 0.22281E+02
     300,2026-08-25T23:16:26.542+08:00, 0.838E-03, 0.4270300, 0.32031E+02
     400,2026-08-25T23:16:36.243+08:00, 0.677E-03, 0.5034765, 0.41562E+02
     500,2026-08-25T23:16:45.767+08:00, 0.677E-03, 0.5712226, 0.50875E+02
     600,2026-08-25T23:16:55.212+08:00, 0.609E-03, 0.6329114, 0.60281E+02
     700,2026-08-25T23:17:04.883+08:00, 0.548E-03, 0.6910391, 0.69562E+02
     800,2026-08-25T23:17:14.156+08:00, 0.548E-03, 0.7458651, 0.78812E+02
     900,2026-08-25T23:17:23.618+08:00, 0.493E-03, 0.7977202, 0.88234E+02
    1000,2026-08-25T23:17:33.269+08:00, 0.493E-03, 0.8470445, 0.97875E+02
    1100,2026-08-25T23:17:43.694+08:00, 0.493E-03, 0.8963687, 0.10802E+03
    1200,2026-08-25T23:17:53.924+08:00, 0.444E-03, 0.9415424, 0.11825E+03
    1300,2026-08-25T23:18:03.474+08:00, 0.444E-03, 0.9859256, 0.12778E+03
    1400,2026-08-25T23:18:13.201+08:00, 0.444E-03, 1.0303087, 0.13742E+03
    1500,2026-08-25T23:18:23.634+08:00, 0.444E-03, 1.0746919, 0.14780E+03
    1600,2026-08-25T23:18:33.709+08:00, 0.399E-03, 1.1153862, 0.15783E+03
    1700,2026-08-25T23:18:45.113+08:00, 0.399E-03, 1.1553250, 0.16919E+03
    1800,2026-08-25T23:18:56.911+08:00, 0.399E-03, 1.1952638, 0.18098E+03
    1900,2026-08-25T23:19:10.901+08:00, 0.399E-03, 1.2352026, 0.19491E+03
    2000,2026-08-25T23:19:24.360+08:00, 0.359E-03, 1.2718386, 0.20836E+03
    2100,2026-08-25T23:19:39.987+08:00, 0.359E-03, 1.3077496, 0.22398E+03
    2200,2026-08-25T23:19:55.424+08:00, 0.323E-03, 1.3419479, 0.23942E+03
    2300,2026-08-25T23:20:09.414+08:00, 0.290E-03, 1.3731539, 0.25341E+03
    2400,2026-08-25T23:20:24.783+08:00, 0.290E-03, 1.4021056, 0.26875E+03
    2500,2026-08-25T23:20:39.529+08:00, 0.260E-03, 1.4291131, 0.28345E+03
    2600,2026-08-25T23:20:52.207+08:00, 0.286E-03, 1.4557694, 0.29611E+03
    2700,2026-08-25T23:21:07.581+08:00, 0.257E-03, 1.4821677, 0.31144E+03
    2800,2026-08-25T23:21:20.781+08:00, 0.257E-03, 1.5079063, 0.32355E+03
    2900,2026-08-25T23:21:36.397+08:00, 0.257E-03, 1.5336449, 0.33909E+03
    3000,2026-08-25T23:21:48.012+08:00, 0.257E-03, 1.5593836, 0.35066E+03
    3100,2026-08-25T23:22:03.397+08:00, 0.257E-03, 1.5851222, 0.36605E+03
    3200,2026-08-25T23:22:16.802+08:00, 0.257E-03, 1.6108608, 0.37944E+03
    3300,2026-08-25T23:22:32.868+08:00, 0.257E-03, 1.6365994, 0.39548E+03
    3400,2026-08-25T23:22:45.097+08:00, 0.257E-03, 1.6623381, 0.40770E+03
    3500,2026-08-25T23:23:00.336+08:00, 0.257E-03, 1.6880767, 0.42294E+03
    3600,2026-08-25T23:23:14.198+08:00, 0.257E-03, 1.7138153, 0.43677E+03
