Time,TimeStep,Iteration,Total_Iterations,Max_Velocity_Error,Max_Pressure_Error,CNN_Used,CNN_Active
  3.9916245E-03,      1,      1,      2,  7.3184838E-05,  2.0773619E-10,0,1
  7.9832489E-03,      2,      1,      4,  9.9445398E-05,  2.0806646E-10,0,1
  1.1974873E-02,      3,      1,      6,  1.1615495E-04,  2.3364810E-10,0,1
  1.5966498E-02,      4,      1,      8,  1.2318139E-04,  2.2001629E-10,0,1
  1.9958122E-02,      5,      1,     10,  1.2082248E-04,  2.4045983E-10,0,1
  2.3949747E-02,      6,      1,     12,  1.1042856E-04,  2.9184436E-10,0,1
  2.7941371E-02,      7,      1,     14,  9.4138150E-05,  2.4129847E-10,0,1
  3.1932996E-02,      8,      1,     16,  7.4540064E-05,  2.4804316E-10,0,1
  3.5924620E-02,      9,      1,     18,  5.4331990E-05,  2.2139499E-10,0,1
  3.9916245E-02,     10,      1,     20,  6.5804016E-05,  2.3352861E-10,0,1
  4.3907869E-02,     11,      1,     22,  8.2529792E-05,  2.4504688E-10,0,1
  4.7899494E-02,     12,      1,     24,  9.4276627E-05,  2.3177420E-10,0,1
  5.1891118E-02,     13,      1,     26,  1.0030405E-04,  2.4769546E-10,0,1
  5.5882742E-02,     14,      1,     28,  1.0061380E-04,  2.5427598E-10,0,1
  5.9874367E-02,     15,      1,     30,  9.5879087E-05,  2.2998172E-10,0,1
  6.3865991E-02,     16,      1,     32,  8.7300614E-05,  2.6133157E-10,0,1
  6.7857616E-02,     17,      1,     34,  7.6413774E-05,  2.5068358E-10,0,1
  7.1849240E-02,     18,      1,     36,  6.4875176E-05,  3.0335865E-10,0,1
  7.5840865E-02,     19,      1,     38,  7.0520785E-05,  2.2878650E-10,0,1
  7.9420379E-02,     20,      1,     41,  7.3647063E-05,  2.4449290E-10,0,1
  8.2999893E-02,     21,      1,     43,  8.0266386E-05,  2.3991550E-10,0,1
  8.6579407E-02,     22,      1,     45,  8.4112430E-05,  2.2580957E-10,0,1
  8.9679751E-02,     23,      1,     48,  7.5850314E-05,  2.4147452E-10,0,1
  9.2780095E-02,     24,      1,     50,  7.2855731E-05,  2.5986594E-10,0,1
  9.5880439E-02,     25,      1,     52,  6.8435360E-05,  2.2569012E-10,0,1
  9.8661154E-02,     26,      1,     55,  5.7697291E-05,  2.3317326E-10,0,1
  1.0144187E-01,     27,      1,     57,  5.2303636E-05,  2.3510040E-10,0,1
  1.0422258E-01,     28,      1,     59,  5.7856010E-05,  2.3164715E-10,0,1
  1.0700330E-01,     29,      1,     61,  6.3272795E-05,  2.1450143E-10,0,1
  1.0947404E-01,     30,      1,     64,  6.0127281E-05,  2.3789681E-10,0,1
  1.1194478E-01,     31,      1,     66,  6.1244546E-05,  2.4116547E-10,0,1
  1.1441552E-01,     32,      1,     68,  6.1049045E-05,  2.4916551E-10,0,1
  1.1688626E-01,     33,      1,     70,  5.9695419E-05,  2.4643053E-10,0,1
  1.1935700E-01,     34,      1,     72,  5.7562653E-05,  2.6600766E-10,0,1
  1.2155918E-01,     35,      1,     75,  4.9500668E-05,  2.2385133E-10,0,1
  1.2376136E-01,     36,      1,     77,  4.9737469E-05,  2.2293312E-10,0,1
  1.2596355E-01,     37,      1,     79,  5.3354381E-05,  2.4155682E-10,0,1
  1.2816573E-01,     38,      1,     81,  5.6328588E-05,  2.1901152E-10,0,1
  1.3036791E-01,     39,      1,     83,  5.8486757E-05,  2.2799469E-10,0,1
  1.3257009E-01,     40,      1,     85,  5.9771574E-05,  2.4691074E-10,0,1
  1.3455019E-01,     41,      1,     88,  5.4701016E-05,  2.1208241E-10,0,1
  1.3653029E-01,     42,      1,     90,  5.3906927E-05,  2.3203088E-10,0,1
  1.3851039E-01,     43,      1,     92,  5.2820067E-05,  2.3250438E-10,0,1
  1.4049049E-01,     44,      1,     94,  5.1597152E-05,  2.4215296E-10,0,1
  1.4247059E-01,     45,      1,     96,  5.0754453E-05,  2.4412398E-10,0,1
  1.4445069E-01,     46,      1,     98,  5.2954769E-05,  2.4263529E-10,0,1
  1.4643078E-01,     47,      1,    100,  5.4962160E-05,  2.2218148E-10,0,1
  1.4841088E-01,     48,      1,    102,  5.6446060E-05,  2.3815762E-10,0,1
  1.5018909E-01,     49,      1,    105,  5.1721817E-05,  2.0919246E-10,0,1
  1.5196730E-01,     50,      1,    107,  5.1821497E-05,  2.3509792E-10,0,1
  1.5374550E-01,     51,      1,    109,  5.1705680E-05,  2.4772642E-10,0,1
  1.5552371E-01,     52,      1,    111,  5.1397897E-05,  2.2013847E-10,0,1
  1.5730192E-01,     53,      1,    113,  5.1562197E-05,  2.2038615E-10,0,1
  1.5908013E-01,     54,      1,    115,  5.3349330E-05,  2.2727598E-10,0,1
  1.6085833E-01,     55,      1,    117,  5.4966155E-05,  2.1054627E-10,0,1
  1.6263654E-01,     56,      1,    119,  5.6326480E-05,  2.2131427E-10,0,1
  1.6441475E-01,     57,      1,    121,  5.7389535E-05,  2.2887434E-10,0,1
  1.6619295E-01,     58,      1,    123,  5.8153949E-05,  2.1426209E-10,0,1
  1.6797116E-01,     59,      1,    125,  5.8653870E-05,  2.3248958E-10,0,1
  1.6956317E-01,     60,      1,    128,  5.3081875E-05,  2.2846430E-10,0,1
  1.7115518E-01,     61,      1,    130,  5.2880671E-05,  2.2489677E-10,0,1
  1.7274719E-01,     62,      1,    132,  5.2764978E-05,  2.5274162E-10,0,1
  1.7433920E-01,     63,      1,    134,  5.2983682E-05,  2.2636515E-10,0,1
  1.7593121E-01,     64,      1,    136,  5.4022568E-05,  2.1300000E-10,0,1
  1.7752322E-01,     65,      1,    138,  5.5088923E-05,  2.4479191E-10,0,1
  1.7911523E-01,     66,      1,    140,  5.5951231E-05,  2.4180185E-10,0,1
  1.8070723E-01,     67,      1,    142,  5.6610878E-05,  2.2246873E-10,0,1
  1.8229924E-01,     68,      1,    144,  5.7093308E-05,  2.4811496E-10,0,1
  1.8389125E-01,     69,      1,    146,  5.7442670E-05,  2.1849684E-10,0,1
  1.8548326E-01,     70,      1,    148,  5.7890645E-05,  2.5632584E-10,0,1
  1.8707527E-01,     71,      1,    150,  5.8646372E-05,  2.7970515E-10,0,1
  1.8866728E-01,     72,      1,    152,  5.9777470E-05,  2.2547653E-10,0,1
  1.9025929E-01,     73,      1,    154,  6.0870533E-05,  2.3367885E-10,0,1
  1.9169020E-01,     74,      1,    157,  5.5806521E-05,  2.2271281E-10,0,1
  1.9312111E-01,     75,      1,    159,  5.6298557E-05,  2.3987923E-10,0,1
  1.9455202E-01,     76,      1,    161,  5.6798149E-05,  2.1772708E-10,0,1
  1.9598293E-01,     77,      1,    163,  5.7211596E-05,  2.3294913E-10,0,1
  1.9741384E-01,     78,      1,    165,  5.7567933E-05,  2.5983854E-10,0,1
  1.9884474E-01,     79,      1,    167,  5.7903671E-05,  2.3873264E-10,0,1
  2.0027565E-01,     80,      1,    169,  5.8260790E-05,  2.5423930E-10,0,1
  2.0170656E-01,     81,      1,    171,  5.8887241E-05,  2.1747413E-10,0,1
  2.0313747E-01,     82,      1,    173,  5.9527688E-05,  2.6239965E-10,0,1
  2.0456838E-01,     83,      1,    175,  6.0193219E-05,  2.3102859E-10,0,1
  2.0599929E-01,     84,      1,    177,  6.0859199E-05,  2.4318615E-10,0,1
  2.0743020E-01,     85,      1,    179,  6.1515900E-05,  2.4821389E-10,0,1
  2.0886111E-01,     86,      1,    181,  6.2192367E-05,  2.5603820E-10,0,1
  2.1029202E-01,     87,      1,    183,  6.2871181E-05,  2.3970576E-10,0,1
  2.1172292E-01,     88,      1,    185,  6.3550145E-05,  2.1443207E-10,0,1
  2.1315383E-01,     89,      1,    187,  6.4227721E-05,  2.0452262E-10,0,1
  2.1458474E-01,     90,      1,    189,  6.4910819E-05,  2.6305713E-10,0,1
  2.1601565E-01,     91,      1,    191,  6.5673955E-05,  2.1418600E-10,0,1
  2.1744656E-01,     92,      1,    193,  6.6397021E-05,  2.1316282E-10,0,1
  2.1873034E-01,     93,      1,    196,  6.0401774E-05,  2.4224465E-10,0,1
  2.2001412E-01,     94,      1,    198,  6.0712533E-05,  2.1676527E-10,0,1
  2.2129790E-01,     95,      1,    200,  6.1124907E-05,  2.0989739E-10,0,1
  2.2258168E-01,     96,      1,    202,  6.1525557E-05,  2.2295301E-10,0,1
  2.2386547E-01,     97,      1,    204,  6.2041374E-05,  2.3851010E-10,0,1
  2.2514925E-01,     98,      1,    206,  6.2581982E-05,  2.2646773E-10,0,1
  2.2643303E-01,     99,      1,    208,  6.3139871E-05,  2.2725609E-10,0,1
  2.2771681E-01,    100,      1,    210,  6.3714131E-05,  2.2778537E-10,0,1
  2.2900059E-01,    101,      1,    212,  6.4302349E-05,  2.2055247E-10,0,1
  2.3028437E-01,    102,      1,    214,  6.4901036E-05,  2.1032065E-10,0,1
  2.3156815E-01,    103,      1,    216,  6.5506139E-05,  2.3408716E-10,0,1
  2.3285193E-01,    104,      1,    218,  6.6113558E-05,  2.4025104E-10,0,1
  2.3413571E-01,    105,      1,    220,  6.6719622E-05,  2.3737812E-10,0,1
  2.3541949E-01,    106,      1,    222,  6.7321459E-05,  2.7537445E-10,0,1
  2.3670327E-01,    107,      1,    224,  6.7917244E-05,  2.3584336E-10,0,1
  2.3798705E-01,    108,      1,    226,  6.8506297E-05,  2.1282176E-10,0,1
  2.3927083E-01,    109,      1,    228,  6.9089040E-05,  2.2614511E-10,0,1
  2.4055462E-01,    110,      1,    230,  6.9666835E-05,  2.3652280E-10,0,1
