,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-08-26T00:08:54.805+08:00, 0.399E-02, 0.0039916, 0.87500E+00
       2,2026-08-26T00:08:54.921+08:00, 0.399E-02, 0.0079832, 0.10000E+01
       3,2026-08-26T00:08:55.033+08:00, 0.399E-02, 0.0119749, 0.10938E+01
       4,2026-08-26T00:08:55.147+08:00, 0.399E-02, 0.0159665, 0.12031E+01
       5,2026-08-26T00:08:55.257+08:00, 0.399E-02, 0.0199581, 0.13125E+01
       6,2026-08-26T00:08:55.384+08:00, 0.399E-02, 0.0239497, 0.14219E+01
       7,2026-08-26T00:08:55.495+08:00, 0.399E-02, 0.0279414, 0.15312E+01
       8,2026-08-26T00:08:55.616+08:00, 0.399E-02, 0.0319330, 0.16406E+01
       9,2026-08-26T00:08:55.726+08:00, 0.399E-02, 0.0359246, 0.17500E+01
      10,2026-08-26T00:08:55.840+08:00, 0.399E-02, 0.0399162, 0.18594E+01
      20,2026-08-26T00:08:56.962+08:00, 0.358E-02, 0.0794204, 0.29688E+01
      30,2026-08-26T00:08:58.135+08:00, 0.247E-02, 0.1094740, 0.41250E+01
      40,2026-08-26T00:08:59.293+08:00, 0.220E-02, 0.1325701, 0.52656E+01
      50,2026-08-26T00:09:00.402+08:00, 0.178E-02, 0.1519673, 0.63750E+01
      60,2026-08-26T00:09:01.482+08:00, 0.159E-02, 0.1695632, 0.74531E+01
      70,2026-08-26T00:09:02.497+08:00, 0.159E-02, 0.1854833, 0.84688E+01
      80,2026-08-26T00:09:03.595+08:00, 0.143E-02, 0.2002757, 0.95156E+01
      90,2026-08-26T00:09:04.619+08:00, 0.143E-02, 0.2145847, 0.10516E+02
     100,2026-08-26T00:09:05.626+08:00, 0.128E-02, 0.2277168, 0.11484E+02
     200,2026-08-26T00:09:15.825+08:00, 0.933E-03, 0.3387909, 0.21422E+02
     300,2026-08-26T00:09:25.865+08:00, 0.838E-03, 0.4270300, 0.31047E+02
     400,2026-08-26T00:09:35.453+08:00, 0.677E-03, 0.5034765, 0.40469E+02
     500,2026-08-26T00:09:44.911+08:00, 0.677E-03, 0.5712226, 0.49812E+02
     600,2026-08-26T00:09:54.290+08:00, 0.609E-03, 0.6329114, 0.59078E+02
     700,2026-08-26T00:10:03.753+08:00, 0.548E-03, 0.6910391, 0.68312E+02
     800,2026-08-26T00:10:13.058+08:00, 0.548E-03, 0.7458651, 0.77438E+02
     900,2026-08-26T00:10:22.480+08:00, 0.493E-03, 0.7977202, 0.86781E+02
    1000,2026-08-26T00:10:32.245+08:00, 0.493E-03, 0.8470445, 0.96344E+02
    1100,2026-08-26T00:10:42.181+08:00, 0.493E-03, 0.8963687, 0.10617E+03
    1200,2026-08-26T00:10:51.713+08:00, 0.444E-03, 0.9415424, 0.11558E+03
    1300,2026-08-26T00:11:01.225+08:00, 0.444E-03, 0.9859256, 0.12508E+03
