Time,TimeStep,Iteration,Total_Iterations,Max_Velocity_Error,Max_Pressure_Error,CNN_Used,CNN_Active
  3.9916245E-03,      1,      1,      2,  7.3184838E-05,  2.0773619E-10,0,1
  7.9832489E-03,      2,      1,      4,  9.9445398E-05,  2.0806646E-10,0,1
  1.1974873E-02,      3,      1,      6,  1.1615495E-04,  2.3364810E-10,0,1
  1.5966498E-02,      4,      1,      8,  1.2318139E-04,  2.2001629E-10,0,1
  1.9958122E-02,      5,      1,     10,  1.2082248E-04,  2.4045983E-10,0,1
  2.3949747E-02,      6,      1,     12,  1.1042856E-04,  2.9184436E-10,0,1
  2.7941371E-02,      7,      1,     14,  9.4138150E-05,  2.4129847E-10,0,1
  3.1932996E-02,      8,      1,     16,  7.4540064E-05,  2.4804316E-10,0,1
  3.5924620E-02,      9,      1,     18,  5.4331990E-05,  2.2139499E-10,0,1
  3.9916245E-02,     10,      1,     20,  6.5804016E-05,  2.3352861E-10,0,1
  4.3907869E-02,     11,      1,     22,  8.2529792E-05,  2.4504688E-10,0,1
  4.7899494E-02,     12,      1,     24,  9.4276627E-05,  2.3177420E-10,0,1
  5.0000000E-02,     13,      1,     26,  6.9990072E-05,  2.2085233E-10,0,1
